variable,tipo_semantico,dtype_post_tipado,n_unicos,nulos_antes_imputacion,imputacion,nulos_despues_imputacion,decision_final
area_residencia_domicilio,categorica_codificada,object,4,0,sin imputacion (sin nulos),0,conservar
estado_civil_victima,categorica_codificada,object,4,0,sin imputacion (sin nulos),0,conservar
nivel_educativo_victima,categorica_codificada,object,12,0,sin imputacion (sin nulos),0,conservar
estudia,categorica_codificada,object,2,0,sin imputacion (sin nulos),0,conservar
trabaja_victima,categorica_codificada,object,2,0,sin imputacion (sin nulos),0,conservar
vinculo_agresor_victima,categorica_codificada,object,3,0,sin imputacion (sin nulos),0,conservar
agresor_vive_casa_victima,categorica_codificada,object,4,0,sin imputacion (sin nulos),0,conservar
sexo_agresor,categorica_codificada,object,2,0,sin imputacion (sin nulos),0,conservar
primera_vez_agrede,categorica_codificada,object,2,0,sin imputacion (sin nulos),0,conservar
estado_agresor_u_a,categorica_codificada,object,4,0,sin imputacion (sin nulos),0,conservar
estado_victima_u_a,categorica_codificada,object,4,0,sin imputacion (sin nulos),0,conservar
continua_recibiendo_tratamiento,categorica_codificada,object,2,0,sin imputacion (sin nulos),0,conservar
redes_fam_soc,categorica_codificada,object,2,0,sin imputacion (sin nulos),0,conservar
nivel_riesgo_victima,categorica_codificada,object,3,0,sin imputacion (sin nulos),0,conservar
interpuso_denuncia,categorica_codificada,object,2,0,sin imputacion (sin nulos),0,conservar
desea_patrocinio_legal,categorica_codificada,object,2,0,sin imputacion (sin nulos),0,conservar
tipo_violencia,categorica_codificada,object,4,0,sin imputacion (sin nulos),0,conservar
ubigeo_codigo,categorica_codificada,object,1883,0,sin imputacion (sin nulos),0,conservar
anio,temporal_derivada,int32,6,0,sin imputacion (sin nulos),0,conservar
mes,temporal_derivada,int32,12,0,sin imputacion (sin nulos),0,conservar
anio_mes,categorica_codificada,object,69,0,sin imputacion (sin nulos),0,conservar
